state number,state,2008_vet_pop,2008_overall_pop_18,2008_vet_pop_p,2008_vet_suicides,2008_all_suicides,2008_vet_suicides_p,2008_vet_rate,2008_civ_rate
0,Alabama,402072,3521323,0.114182084,138,604,0.228476821,34.32221095,14.93948387
1,Alaska,67833,486235,0.139506617,27,169,0.159763314,39.8036354,33.9386523
2,Arizona,551053,4768630,0.115557928,233,972,0.239711934,42.28268424,17.52190891
3,Arkansas,243494,2145844,0.113472368,96,447,0.214765101,39.42602282,18.45086341
4,California,2034700,27233110,0.074714199,727,3775,0.192582781,35.73008306,12.0960013
5,Colorado,415094,3705758,0.112013251,188,803,0.234122042,45.29094615,18.68923719
6,Connecticut,237074,2684092,0.088325586,46,315,0.146031746,19.40322431,10.99297185
7,Delaware,75987,661193,0.114924084,23,109,0.211009174,30.26833537,14.69567981
8,Florida*,1655847,14266412,0.116066114,631,2740,0.230291971,38.10738553,16.72407224
9,Georgia,709363,7082157,0.100161999,192,981,0.195718654,27.06653716,12.38075481
10,Hawaii,106372,959788,0.110828641,20,133,0.15037594,18.80194036,13.24090479
11,Idaho,135394,1105360,0.122488601,75,252,0.297619048,55.39388747,18.2480623
12,Illinois,782182,9701259,0.080626855,229,1198,0.19115192,29.27707362,10.86435289
13,Indiana,486149,4787570,0.101543998,184,809,0.227441286,37.84847855,14.53008204
14,Iowa,245912,2290057,0.10738248,74,380,0.194736842,30.09206545,14.96958386
15,Kansas,231810,2084264,0.111219116,74,337,0.21958457,31.92269531,14.19738358
16,Kentucky,329768,3242747,0.101694027,51,612,0.083333333,15.46541811,19.25863523
17,Louisiana,304756,3287010,0.092715264,97,532,0.182330827,31.82874168,14.58628272
18,Maine,136533,1038090,0.131523278,44,181,0.243093923,32.22664118,15.19593326
19,Maryland,445742,4265690,0.104494701,92,507,0.181459566,20.63974227,10.86402223
20,Massachusetts,422508,5062590,0.083456887,48,509,0.094302554,11.36073163,9.935169249
21,Michigan,720840,7603028,0.094809594,224,1180,0.189830508,31.07485711,13.8909312
22,Minnesota,391485,3966540,0.098696849,110,596,0.184563758,28.09813914,13.59419645
23,Mississippi,209831,2158203,0.097224867,81,409,0.19804401,38.60249439,16.83456753
24,Missouri***,508839,4469294,0.11385221,180,779,0.231065469,35.37464699,15.12452483
25,Montana,100543,741354,0.13562077,50,203,0.246305419,49.72996628,23.87599464
26,Nebraska,147482,1329791,0.11090615,21,191,0.109947644,14.23902578,14.37864382
27,Nevada,227277,1922260,0.118234266,131,528,0.248106061,57.63891639,23.42206382
28,New Hampshire,121145,1021327,0.118615292,36,179,0.201117318,29.71645549,15.88567645
29,New Jersey,485053,6623050,0.073237104,77,615,0.125203252,15.87455391,8.765074339
30,New Mexico,171725,1473640,0.116531175,80,419,0.190930788,46.58611152,26.03856627
31,New York,1032622,15051925,0.068603983,224,1409,0.158977999,21.69235209,8.452631347
32,North Carolina,746259,6879572,0.108474626,238,1162,0.204819277,31.89241269,15.06526734
33,North Dakota**,54688,493281,0.110865815,14,86,0.162790698,25.59976594,16.41613067
34,Ohio,926863,8740001,0.106048386,264,1412,0.186968839,28.48317389,14.69320009
35,Oklahoma,316987,2713979,0.116797882,145,575,0.252173913,45.74320083,17.9391504
36,Oregon,349013,2919847,0.119531263,140,572,0.244755245,40.113119,16.80388543
37,Pennsylvania,1023082,9671561,0.10578251,333,1539,0.216374269,32.54871066,13.94464853
38,Rhode Island,82464,815584,0.10111037,16,110,0.145454545,19.4024059,12.82191183
39,South Carolina,391275,3375008,0.115933059,137,565,0.242477876,35.01373714,14.34444704
40,South Dakota,70852,601688,0.117755382,20,124,0.161290323,28.22785525,19.59173831
41,Tennessee,503323,4720255,0.106630468,176,973,0.180883864,34.9676053,18.89999649
42,Texas,1603981,17493335,0.091690978,454,2552,0.177899687,28.30457468,13.20380929
43,Utah,146547,1875269,0.078147188,55,390,0.141025641,37.53062158,19.37847728
44,Vermont,53175,491776,0.108128498,15,94,0.159574468,28.20874471,18.01181484
45,Virginia,720855,5812063,0.124027389,203,948,0.214135021,28.16100325,14.6330694
46,Washington,606459,4942947,0.122691787,238,889,0.267716535,39.24420282,15.01214808
47,West Virginia,171744,1426761,0.120373349,58,261,0.222222222,33.77119434,16.1750797
48,Wisconsin,438533,4310254,0.1017418,131,743,0.176312248,29.87232432,15.8069241
49,Wyoming,50704,401718,0.126217894,30,124,0.241935484,59.16692963,26.77955865
