state number,state,2009_vet_pop,2009_overall_pop_18,2009_vet_pop_p,2009_vet_suicides,2009_all_suicides,2009_vet_suicides_p,2009_vet_rate,2009_civ_rate
0,Alabama,397405,3558849,0.111666721,178,673,0.26448737,44.79057888,15.65740212
1,Alaska,70458,500570,0.140755539,34,143,0.237762238,48.25569843,25.34223644
2,Arizona,532634,4843073,0.10997852,228,1060,0.21509434,42.80612954,19.30197829
3,Arkansas,244016,2173244,0.112281916,89,422,0.210900474,36.47301816,17.26079033
4,California,1963556,27365341,0.071753391,723,3823,0.189118493,36.82095138,12.20386678
5,Colorado,395350,3762991,0.105062701,211,941,0.224229543,53.37043126,21.67689489
6,Connecticut,222632,2703644,0.082345161,31,316,0.098101266,13.92432355,11.48724795
7,Delaware,77232,673811,0.114619678,17,107,0.158878505,22.01160141,15.08601543
8,Florida*,1591864,14412206,0.110452487,658,2858,0.230230931,41.33518944,17.16022864
9,Georgia,693809,7166761,0.096809284,244,1134,0.215167549,35.16818029,13.74952263
10,Hawaii,106310,958760,0.110882807,25,175,0.142857143,23.51613207,17.59633996
11,Idaho,122552,1121706,0.10925501,66,304,0.217105263,53.85469025,23.82015185
12,Illinois,772410,9716887,0.079491508,199,1177,0.169073917,25.76351937,10.93412169
13,Indiana,471717,4830620,0.09765144,150,828,0.18115942,31.79872678,15.55437228
14,Iowa,234659,2296177,0.102195519,71,361,0.1966759,30.25667032,14.0673038
15,Kansas,218993,2099260,0.104319141,93,382,0.243455497,42.46711082,15.37015754
16,Kentucky,319199,3275369,0.097454363,104,592,0.175675676,32.58155571,16.5078463
17,Louisiana,315813,3351308,0.094235743,92,490,0.187755102,29.13116306,13.11153535
18,Maine,132238,1043178,0.12676456,45,197,0.228426396,34.02955278,16.68606055
19,Maryland,438707,4313424,0.101707368,97,551,0.176043557,22.11042906,11.71698475
20,Massachusetts,414595,5153924,0.080442591,48,530,0.090566038,11.57756365,10.17021608
21,Michigan,706848,7614974,0.092823429,232,1169,0.198460222,32.82176649,13.56373639
22,Minnesota,381202,4004268,0.095198923,106,584,0.181506849,27.80677961,13.19324572
23,Mississippi,203152,2171630,0.093548164,77,381,0.202099738,37.90265417,15.44340348
24,Missouri***,498159,4536263,0.109817045,180,860,0.209302326,36.13304186,16.8395861
25,Montana,96661,749212,0.129016887,48,219,0.219178082,49.6580834,26.20484836
26,Nebraska,147275,1342732,0.109683094,30,170,0.176470588,20.37005602,11.71100257
27,Nevada,218908,1947160,0.112424249,118,505,0.233663366,53.90392311,22.39256775
28,New Hampshire,114796,1034119,0.111008501,28,166,0.168674699,24.39109377,15.01104617
29,New Jersey,464094,6646834,0.069821813,81,557,0.145421903,17.45336074,7.698851965
30,New Mexico,168545,1484782,0.113514981,85,376,0.22606383,50.43163547,22.10848046
31,New York,994358,15092255,0.065885317,192,1417,0.13549753,19.30894105,8.689239253
32,North Carolina,731015,6996408,0.10448433,249,1174,0.2120954,34.06222855,14.76363893
33,North Dakota**,52159,498949,0.104537738,14,90,0.155555556,26.84100539,17.01022852
34,Ohio,897333,8813009,0.10181914,243,1176,0.206632653,27.0802478,11.78673811
35,Oklahoma,313711,2741064,0.114448623,122,567,0.215167549,38.8892962,18.33272705
36,Oregon,343557,2948094,0.116535294,145,644,0.22515528,42.20551466,19.15887545
37,Pennsylvania,988006,9817894,0.100633191,292,1631,0.179031269,29.55447639,15.16440526
38,Rhode Island,75328,822465,0.091588092,22,118,0.186440678,29.20560748,12.8490491
39,South Carolina,385544,3441651,0.11202298,143,619,0.231017771,37.09044882,15.57537089
40,South Dakota,68313,609906,0.112005784,33,129,0.255813953,48.30705722,17.72548759
41,Tennessee,502280,4782812,0.105017718,196,947,0.206969377,39.02205941,17.5445482
42,Texas,1581873,17785992,0.088939262,492,2809,0.175151299,31.10237042,14.29883352
43,Utah,149221,1906017,0.078289438,79,449,0.175946548,52.9416101,21.06106799
44,Vermont,51899,494457,0.104961604,7,87,0.08045977,13.48773579,18.07672667
45,Virginia,728528,5913691,0.123193451,198,963,0.205607477,27.17809062,14.75363455
46,Washington,585202,5035212,0.116221919,249,921,0.270358306,42.54941029,15.10108966
47,West Virginia,156260,1433007,0.109043431,66,253,0.260869565,42.23729681,14.64659796
48,Wisconsin,430296,4343001,0.099078034,134,724,0.185082873,31.14135386,15.07908212
49,Wyoming,51008,410174,0.12435698,18,111,0.162162162,35.28858218,25.89331952
