state number,state,2005_vet_pop,2005_overall_pop_18,2005_vet_pop_p,2005_vet_suicides,2005_all_suicides,2005_vet_suicides_p,2005_vet_rate,2005_civ_rate
0,Alabama,403950,3344721,0.120772405,135,535,0.252336449,33.41997772,13.60187515
1,Alaska,74482,446969,0.166637955,24,131,0.183206107,32.22255041,28.72583473
2,Arizona,538880,4238996,0.127124442,225,945,0.238095238,41.75326603,19.4588494
3,Arkansas,259304,2023819,0.128126082,81,400,0.2025,31.23746645,18.07862217
4,California,2193336,25543447,0.085866876,633,3206,0.197442296,28.86014728,11.01921957
5,Colorado,402091,3371999,0.119244104,191,800,0.23875,47.50168494,20.5056857
6,Connecticut,261294,2559377,0.102092814,52,295,0.176271186,19.90095448,10.57403062
7,Delaware,79151,620779,0.127502702,17,83,0.204819277,21.47793458,12.18548524
8,Florida*,1717801,13289030,0.129264589,540,2347,0.230080954,31.43553881,15.61631872
9,Georgia,731466,6437595,0.11362411,182,924,0.196969697,24.88153926,13.00356161
10,Hawaii,116793,917646,0.12727457,15,107,0.140186916,12.84323547,11.48775119
11,Idaho,132844,1019061,0.130359223,65,228,0.285087719,48.92957153,18.39278642
12,Illinois,853338,9197524,0.0927791,219,1086,0.201657459,25.66392215,10.39046829
13,Indiana,505259,4496185,0.112375047,112,745,0.15033557,22.16684908,15.86098063
14,Iowa,249911,2192545,0.113982153,70,333,0.21021021,28.00997155,13.53831962
15,Kansas,238506,1981969,0.120337906,86,362,0.237569061,36.0577931,15.83056251
16,Kentucky,341752,3073085,0.111208118,44,566,0.077738516,12.87483321,19.11154737
17,Louisiana,337822,3234969,0.104428203,101,505,0.2,29.89740159,13.94475323
18,Maine,145352,1003350,0.144866697,49,175,0.28,33.71126644,14.68534892
19,Maryland,480654,4038360,0.119022078,105,472,0.222457627,21.84523587,10.31563597
20,Massachusetts,453249,4725900,0.095907446,51,480,0.10625,11.25209322,10.04060477
21,Michigan,782823,7347736,0.106539348,232,1108,0.209386282,29.63632903,13.34366503
22,Minnesota,407255,3759713,0.108320768,103,547,0.188299817,25.29127942,13.2440138
23,Mississippi,226398,2070896,0.109323694,68,363,0.187327824,30.03560102,15.99351151
24,Missouri***,533517,4251339,0.125493874,180,727,0.247592847,33.73838134,14.71291525
25,Montana,100637,704193,0.142911105,59,206,0.286407767,58.62654888,24.35565217
26,Nebraska,154607,1270888,0.121652734,18,187,0.096256684,11.6424224,15.13955715
27,Nevada,233633,1757343,0.132946727,106,480,0.220833333,45.370303,24.54535312
28,New Hampshire,129603,967192,0.133999247,37,162,0.228395062,28.54872187,14.9237872
29,New Jersey,546437,6358519,0.085937779,80,536,0.149253731,14.64029705,7.845725508
30,New Mexico,177687,1392242,0.127626519,80,342,0.233918129,45.02298986,21.57168675
31,New York,1098272,14119047,0.077786553,208,1189,0.174936922,18.93884211,7.534113753
32,North Carolina,723831,6240503,0.115989208,225,1009,0.222993062,31.084604,14.21146662
33,North Dakota**,58479,470198,0.12437101,24,92,0.260869565,41.04037347,16.516119
34,Ohio,982418,8390951,0.11708065,282,1341,0.210290828,28.70468579,14.29432791
35,Oklahoma,341464,2572747,0.132723505,109,522,0.208812261,31.92137385,18.50953017
36,Oregon,350365,2709927,0.129289461,154,560,0.275,43.95416209,17.20658326
37,Pennsylvania,1088379,9169767,0.118692111,336,1430,0.234965035,30.87159896,13.5372785
38,Rhode Island,88971,785844,0.113217127,15,71,0.211267606,16.85942611,8.035897502
39,South Carolina,400152,3077479,0.130025908,96,510,0.188235294,23.99088346,15.46318399
40,South Dakota,67985,557930,0.121852204,29,121,0.239669421,42.65646834,18.7776179
41,Tennessee,509881,4412551,0.115552432,183,856,0.213785047,35.89072744,17.24460433
42,Texas,1612948,15899260,0.101447992,509,2418,0.210504549,31.55712397,13.36244092
43,Utah,143301,1683956,0.085097829,49,348,0.140804598,34.19375999,19.40733
44,Vermont,57633,469021,0.122879359,10,78,0.128205128,17.35117034,16.52940776
45,Virginia,757224,5442170,0.139140086,206,866,0.237875289,27.20463165,14.08767572
46,Washington,628595,4633815,0.135653883,225,822,0.273722628,35.79411227,14.90554826
47,West Virginia,175697,1389726,0.126425641,73,255,0.28627451,41.54880277,14.99140465
48,Wisconsin,444679,4080095,0.108987413,136,643,0.211508554,30.58385937,13.94613436
49,Wyoming,55519,379651,0.146236939,17,90,0.188888889,30.62014806,22.52168869
